,Date,Open,High,Low,Close*,Adj Close**,Volume
151,"Oct 05, 2023",319.09,319.98,314.90,319.36,318.12,"16,965,600"
152,"Oct 04, 2023",314.03,320.04,314.00,318.96,317.73,"20,720,100"
153,"Oct 03, 2023",320.83,321.39,311.21,313.39,312.18,"21,033,500"
154,"Oct 02, 2023",316.28,321.89,315.18,321.80,320.56,"20,570,000"
155,"Sep 29, 2023",317.75,319.47,314.98,315.75,314.53,"24,140,300"
156,"Sep 28, 2023",310.99,315.48,309.45,313.64,312.43,"19,683,600"
157,"Sep 27, 2023",312.30,314.30,309.69,312.79,311.58,"19,410,100"
158,"Sep 26, 2023",315.13,315.88,310.02,312.14,310.93,"26,297,600"
159,"Sep 25, 2023",316.59,317.67,315.00,317.54,316.31,"17,836,000"
160,"Sep 22, 2023",321.32,321.45,316.15,317.01,315.78,"21,447,900"
161,"Sep 21, 2023",319.26,325.35,315.00,319.53,318.29,"35,529,500"
162,"Sep 20, 2023",329.51,329.59,320.51,320.77,319.53,"21,436,500"
163,"Sep 19, 2023",326.17,329.39,324.51,328.65,327.38,"16,505,900"
164,"Sep 18, 2023",327.80,330.40,326.36,329.06,327.79,"16,834,200"
165,"Sep 15, 2023",336.92,337.40,329.65,330.22,328.94,"37,666,900"
166,"Sep 14, 2023",339.15,340.86,336.57,338.70,337.39,"20,267,000"
167,"Sep 13, 2023",331.31,336.85,331.17,336.06,334.76,"16,544,400"
168,"Sep 12, 2023",335.82,336.79,331.48,331.77,330.49,"17,565,500"
169,"Sep 11, 2023",337.24,338.42,335.43,337.94,336.63,"16,583,300"
170,"Sep 08, 2023",330.09,336.16,329.46,334.27,332.98,"19,530,100"
171,"Sep 07, 2023",331.29,333.08,329.03,329.91,328.63,"18,381,000"
172,"Sep 06, 2023",333.38,334.46,330.18,332.88,331.59,"17,535,800"
173,"Sep 05, 2023",329.00,334.85,328.66,333.55,332.26,"18,553,900"
174,"Sep 01, 2023",331.31,331.99,326.78,328.66,327.39,"14,931,200"
175,"Aug 31, 2023",329.20,330.91,326.78,327.76,326.49,"26,411,000"
176,"Aug 30, 2023",328.67,329.81,326.45,328.79,327.52,"15,222,100"
177,"Aug 29, 2023",321.88,328.98,321.88,328.41,327.14,"19,284,600"
178,"Aug 28, 2023",325.66,326.15,321.72,323.70,322.45,"14,808,500"
179,"Aug 25, 2023",321.47,325.36,318.80,322.98,321.73,"21,684,100"
180,"Aug 24, 2023",332.85,332.98,319.96,319.97,318.73,"23,281,400"
181,"Aug 23, 2023",323.82,329.20,323.46,327.00,325.74,"21,166,400"
182,"Aug 22, 2023",325.50,326.08,321.46,322.46,321.21,"16,102,000"
183,"Aug 21, 2023",317.93,322.77,317.04,321.88,320.64,"24,040,000"
184,"Aug 18, 2023",314.49,318.38,311.55,316.48,315.26,"24,744,800"
185,"Aug 17, 2023",320.54,321.87,316.21,316.88,315.65,"21,257,200"
186,"Aug 16, 2023",320.80,324.42,319.80,320.40,319.16,"20,698,900"
187,"Aug 16, 2023",0.68 Dividend,,,,,
188,"Aug 15, 2023",323.00,325.09,320.90,321.86,319.94,"16,966,300"
189,"Aug 14, 2023",321.39,324.06,320.08,324.04,322.10,"18,836,100"
190,"Aug 11, 2023",320.26,322.41,319.21,321.01,319.09,"24,342,600"
191,"Aug 10, 2023",326.02,328.26,321.18,322.93,321.00,"20,113,700"
192,"Aug 09, 2023",326.47,327.11,321.05,322.23,320.31,"22,373,300"
193,"Aug 08, 2023",326.96,328.75,323.00,326.05,324.10,"22,327,600"
194,"Aug 07, 2023",328.37,331.11,327.52,330.11,328.14,"17,741,500"
195,"Aug 04, 2023",331.88,335.14,327.24,327.78,325.82,"23,727,700"
196,"Aug 03, 2023",326.00,329.88,325.95,326.66,324.71,"18,253,700"
197,"Aug 02, 2023",333.63,333.63,326.36,327.50,325.54,"27,761,300"
198,"Aug 01, 2023",335.19,338.54,333.70,336.34,334.33,"18,311,900"
199,"Jul 31, 2023",336.92,337.70,333.36,335.92,333.91,"25,446,000"
200,"Jul 28, 2023",333.67,340.01,333.17,338.37,336.35,"28,484,900"
201,"Jul 27, 2023",340.48,341.33,329.05,330.72,328.74,"39,635,300"
202,"Jul 26, 2023",341.44,344.67,333.11,337.77,335.75,"58,383,700"
203,"Jul 25, 2023",347.11,351.89,345.07,350.98,348.88,"41,637,700"
204,"Jul 24, 2023",345.85,346.92,342.31,345.11,343.05,"26,678,100"
205,"Jul 21, 2023",349.15,350.30,339.83,343.77,341.72,"69,368,900"
206,"Jul 20, 2023",353.57,357.97,345.37,346.87,344.80,"33,778,400"
207,"Jul 19, 2023",361.75,362.46,352.44,355.08,352.96,"39,732,900"
208,"Jul 18, 2023",345.83,366.78,342.17,359.49,357.34,"64,872,700"
209,"Jul 17, 2023",345.68,346.99,342.20,345.73,343.67,"20,363,900"
210,"Jul 14, 2023",347.59,351.43,344.31,345.24,343.18,"28,302,200"
211,"Jul 13, 2023",339.56,343.74,339.02,342.66,340.61,"20,567,200"
212,"Jul 12, 2023",336.60,341.65,335.67,337.20,335.19,"29,995,300"
213,"Jul 11, 2023",331.06,332.86,327.00,332.47,330.48,"26,698,200"
214,"Jul 10, 2023",334.60,335.23,327.59,331.83,329.85,"32,791,400"
215,"Jul 07, 2023",339.32,341.79,337.00,337.22,335.21,"21,185,300"
216,"Jul 06, 2023",337.30,342.99,335.50,341.27,339.23,"28,161,200"
217,"Jul 05, 2023",335.09,341.65,334.73,338.15,336.13,"18,172,400"
218,"Jul 03, 2023",339.19,340.90,336.57,337.99,335.97,"12,508,700"
219,"Jun 30, 2023",337.75,342.73,337.20,340.54,338.51,"26,823,800"
220,"Jun 29, 2023",334.71,336.11,332.62,335.05,333.05,"16,997,000"
221,"Jun 28, 2023",334.66,337.98,333.81,335.85,333.84,"20,259,500"
222,"Jun 27, 2023",331.86,336.15,329.30,334.57,332.57,"24,354,100"
223,"Jun 26, 2023",333.72,336.11,328.49,328.60,326.64,"21,520,600"
224,"Jun 23, 2023",334.36,337.96,333.45,335.02,333.02,"23,084,700"
225,"Jun 22, 2023",334.12,340.12,333.34,339.71,337.68,"23,556,800"
